w (Hz),Z' (Ohms),Z'' (Ohms)
0.0125893,2039.88,730.365
0.0173291,1925.65,625.942
0.0238534,1813.31,537.713
0.0328342,1708.3,461.625
0.0451962,1639.16,397.706
0.0622125,1543.81,343.418
0.0856353,1519.25,291.705
0.117877,1485.88,256.648
0.162257,1451.34,227.313
0.223347,1408.53,196.143
0.307436,1370.41,177.601
0.423185,1341.06,159.854
0.582514,1333.16,145.381
0.801829,1283.15,133.839
1.10372,1192.04,122.59
1.51926,1233.26,130.151
2.09126,1295.81,143.543
2.87862,1215.83,151.726
3.96241,1132.12,161.524
5.45425,1144.33,188.427
7.50776,1155.77,227.007
10.3344,1077.38,252.402
14.2253,989.114,283.876
19.5811,937.437,317.784
26.9533,865.059,357.094
37.1012,777.656,370.892
51.0697,686.569,377.086
70.2973,579.651,370.214
96.7641,484.739,349.572
133.196,385.43,304.728
183.343,336.855,294.313
252.372,284.391,268.162
347.389,229.358,226.453
478.18,186.328,189.897
658.214,154.115,152.545
906.031,139.065,125.88
1247.15,123.514,99.4488
1716.7,106.709,78.425
2363.03,100.574,56.9407
3252.71,93.2408,40.3675
4477.34,91.7006,30.657
6163.05,89.1463,24.9118
8483.43,92.5878,21.1696
11677.4,94.6783,18.7877
16073.9,92.8109,15.6943
22125.7,89.9318,12.746
30456,85.7056,10.0334
41922.7,84.7726,9.32678
57706.5,87.0868,9.17262
79432.8,88.3417,9.58026
